order_depot_id,order_id,security_id,limit_price,order_side,order_start_date,order_end_date
SY26E0,46958,MQ7750611241, 101.323605,B,2022-08-14,2022-09-14
BQ08F2,215156,LZ6043659117,  10.933220,B,2022-08-14,2022-09-04
SL51J5,469999,VD7421286972,  44.513705,S,2022-08-14,2022-09-08
PQ24Q2,238630,IZ6227346975,  10.101950,B,2022-08-06,2022-09-04
JU70X8,210014,PF5292705707,  77.144615,B,2022-07-27,2022-08-27
AA87C1,757074,ZP6293489475,  50.695975,B,2022-07-30,2022-08-29
TC81Z1,900736,JB3361530232,  17.043910,B,2022-08-10,2022-09-22
BL47Z9,465979,LL9724361559,  55.666155,S,2022-08-02,2022-09-14
RO71U1,965800,KV6756997731,   0.486805,B,2022-07-31,2022-09-20
YF55N7,924614,XI7302726436,  80.250780,B,2022-08-11,2022-09-02
RT65O1,333734,XS3093360449,  86.524900,B,2022-07-30,2022-09-14
PP71D0,735610,GI6895155643,  32.778100,B,2022-08-04,2022-09-17
GX02L6,679910,PT2723015835,  16.860310,B,2022-08-25,2022-09-06
UL07X8,638622,JK8632057309,  63.550460,S,2022-08-04,2022-09-07
CS31P2,67150,LB5464150359, 102.495765,B,2022-08-07,2022-08-27
NR01J6,665990,HB9291987735, 100.463880,S,2022-08-17,2022-09-12
EW57X0,466526,GQ0531496566,  45.613320,S,2022-08-20,2022-08-28
UR12U9,354997,MC7334644014,  33.036785,S,2022-08-20,2022-08-27
DY23B3,227187,JP6639584356,  15.718240,B,2022-08-06,2022-09-14
CQ83C1,371780,KH4675228517,  86.638800,B,2022-08-17,2022-09-04
XI29L0,976380,MW2657836911,  19.536350,B,2022-08-03,2022-09-08
QY72W8,506923,DJ7732316497,  83.541950,S,2022-07-28,2022-09-04
EI66B1,536743,YR8758810234,  63.262140,S,2022-08-22,2022-08-27
JF19T1,698600,WM7402094583,  63.527350,B,2022-08-15,2022-09-05
JI33J8,651892,WE4341191445,  82.845750,S,2022-08-04,2022-09-17
BG50J2,532458,OS5830376944,  10.157500,B,2022-07-27,2022-09-12
CT51V9,518283,DQ2771896509,  79.006400,S,2022-08-12,2022-09-24
JH73Y8,675165,SF2315445489,  70.572750,S,2022-08-05,2022-09-08
