security_id,reference_price
AJ5923751919,  62.691600
GC8934307474,  86.276200
GO4098286622,  22.203500
FT3764636516,  69.381600
UI5881762390,  58.144800
KT0308206639,  90.674100
XX3874451784,  87.702300
WW8259291023,   0.628500
RJ8180833869,  25.280300
RA2641932631,  80.126500
GB7852783497,  50.281200
HU2338031863,  54.762300
QG2915736100,  25.742900
YA5897634511,  12.780100
FY3855714562,  76.619200
CR8648686579,  68.183000
UA6583229408,  34.676500
KF9810193974,  71.245300
LC5242278274,  94.658800
VQ3559107823,  98.350800
EB0326487659,   1.586000
KF6520581225,  29.628800
AW4995046719,  54.748400
OD7150023550,  33.157500
RQ9512815001,  92.137800
VS2919257469,  30.847000
TP7864750600,  54.713100
OW3293157421,  71.150000
AU5613909243,  62.585800
LO2370007972,   3.294700
EB0346295918,  54.171200
IN0673252995,  21.418600
FV3475389095,  15.505900
LF0401261233,  65.532800
CR0663612700,  92.668600
VB7310281786,  41.696200
GF4120503551,  87.828000
PQ7922791465,  45.475300
QC9808101807,  18.658100
GW7860337542,   6.937500
BK8276543607,  52.422400
OD2274541119,  39.828600
DE0927122270,  57.479600
NJ0554012371,   8.498800
IQ1081949940,  70.762200
EA7111877553,  69.881800
TG1713405179,  26.802900
DR2490204637,   7.217000
YR5722573229,   5.295000
EQ8428254113,  12.517700
CN0461289177,  16.997400
ID5588382989,  88.659200
KG1740961161,   4.288800
TM2908154626,  97.761500
LK4564104511,  97.683300
RZ0648477205,  58.732000
LX2248112224,  90.419500
YG1658229962,  75.769100
KG1306151725,  44.276400
VK6776813392,  87.329700
MU6662333318,  25.426000
NE4460404384,  10.669600
WB9388980053,  59.604700
HV7996238608,  90.449600
XK3320121144,  44.201200
VA5819655703,  47.478000
AO6791258005,  72.106600
IB1345532910,   7.259600
DK1305961490,  22.791000
OO7800500990,  34.821100
GJ3567131047,  24.803700
IH6190421410,  20.233300
BI5482841326,  12.705300
OE0265748209,   1.167600
OU5532313315,  11.388700
SD0005430852,  51.192300
DJ3376386971,  92.620500
MX0178136736,  78.974000
BT6095342777,  45.650000
DK6024043962,  48.800800
TR3823472891,  83.765800
YC4164805744,  81.549400
NQ9449558846,  34.375000
HD0771938304,  29.745000
KZ1867776500,  62.274900
DR9472671384,  64.135800
NX5495757538,  30.492600
GY6367414840,  67.995600
LJ2215847684,  57.863900
PY9313690095,  92.735700
RJ7304248554,  44.246600
TN5002072324,  20.163800
AA2672322202,  11.218200
KL4535327699,  88.148000
OT6879357035,  17.838600
CW2298081168,  60.262000
OE3599856439,  22.618900
WX5766169686,  13.237800
WC4238305323,  32.721400
UX7577905326,  17.748100
RI7353342060,  99.887900
AY3369638289,  70.733700
RL0992979952,  71.688400
MH1218730146,  29.170800
IH9321904983,  66.149000
WE8964224654,  76.516800
YI5717580316,  78.463100
MI9159248482,  38.679800
NT7679201084,  94.170000
FH0082752498,  91.661100
